BR23093631 - Finalized
CLIENT : "ACIRLL - ACIRL Pty Ltd"
# of SAMPLES : 8
DATE RECEIVED : 2023-04-06  DATE FINALIZED : 2023-04-27
PROJECT : "Whitehaven"
CERTIFICATE COMMENTS : "Results provided based on ashed samples received. ME-MS61r:REEs may not be totally soluble in this method. "
PO NUMBER : "AC34462"
,WEI-21b,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS81,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r,ME-MS61r
SAMPLE,Pulp Wt,Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sc,Sm,Sn,Sr,Ta,Tb,Th,Ti,Tm,U,V,W,Y,Yb,Zr,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Dy,Er,Eu,Gd,Ho,Lu,Nd,Pr,Sm,Tb,Tm,Yb
DESCRIPTION,g,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
ICP23000472Z291, 12, 5010, 69.1, 271, 25.2, 5.14, 2.96, 1.32, 43.1, 5.11, 5.36, 0.92, 32.4, 0.39, 9.68, 29.3, 7.56, 120.0, 25.8, 5.55, 4.4, 227, 0.7, 0.72, 14.85, 0.61, 0.40, 4.35, 191, 4.2, 25.9, 2.85, 194, 0.14, 9.96, 43.1, 4790, 1.78, 0.54, 0.27, 0.18, 26.8, 14.2, 257, 17.40, 98.5, 2.58, 40.5, 0.16, 2.8, 0.100, 1.69, 11.3, 72.6, 0.25, 89, 16.80, 0.08, 9.1, 169.0, 260, 27.2, 77.8,<0.002, 0.18, 2.20, 17.4,<1, 3.5, 168.0, 0.72, 0.12, 7.38, 0.513, 2.02, 3.2, 159, 3.6, 8.8, 45, 100.5, 2.10, 1.20, 0.53, 2.19, 0.42, 0.24, 12.2, 3.06, 2.40, 0.34, 0.19, 1.33
ICP23000472Z292, 15, 2040, 146.5, 466, 3.39, 13.85, 8.42, 3.36, 48.5, 13.65, 11.70, 2.74, 61.7, 1.01, 21.4, 65.2, 15.40, 18.9, 37.5, 13.90, 7.4, 446, 1.8, 2.09, 28.5, 1.38, 1.04, 7.91, 229, 5.6, 81.5, 6.87, 462, 0.11, 9.01, 35.2, 1540, 2.50, 0.86, 0.12, 0.18, 40.1, 19.4, 296, 1.48, 98.8, 1.11, 38.0, 0.20, 5.1, 0.150, 0.26, 15.8, 285, 0.06, 46, 20.5, 0.09, 19.7, 159.0, 670, 48.4, 7.4, 0.002, 0.06, 4.13, 14.8,<1, 6.7, 216, 1.67, 0.20, 9.43, 1.060, 1.75, 5.7, 174, 4.7, 15.1, 80, 182.5, 3.56, 2.05, 1.01, 3.76, 0.75, 0.33, 19.8, 4.71, 3.99, 0.58, 0.30, 2.02
ICP23000472Z293, 17, 408, 93.6, 143, 4.80, 6.39, 4.00, 1.15, 36.7, 6.36, 7.91, 1.20, 46.7, 0.56, 12.90, 41.6, 10.80, 37.5, 17.0, 8.52, 7.5, 429, 1.4, 0.97, 26.6, 0.60, 0.57, 7.24, 80, 5.3, 39.7, 3.44, 249, 0.11, 7.73, 3.4, 360, 4.36, 0.94, 4.44, 0.16, 52.6, 3.7, 162, 2.51, 38.5, 0.90, 33.2, 0.27, 5.2, 0.098, 0.63, 23.4, 154.0, 0.12, 224, 4.61, 0.08, 11.4, 75.3, 2640, 45.3, 17.5,<0.002, 0.31, 0.98, 8.7, 1, 5.9, 335, 1.37, 0.08, 15.75, 0.407, 0.45, 4.4, 59, 4.8, 21.2, 34, 140.0, 3.84, 2.35, 0.69, 3.62, 0.81, 0.42, 23.0, 6.12, 3.98, 0.60, 0.36, 2.43
ICP23000472Z294, 16, 745, 85.0, 93, 6.91, 5.94, 3.15, 1.55, 41.7, 6.78, 6.83, 1.02, 41.0, 0.48, 11.50, 40.8, 10.15, 60.7, 19.4, 8.04, 4.3, 397, 0.9, 0.89, 20.3, 0.93, 0.41, 5.92, 140, 3.8, 30.1, 2.79, 200, 0.11, 7.21, 15.9, 590, 3.64, 0.46, 0.43, 0.19, 17.20, 16.0, 98, 3.24, 80.0, 0.76, 35.9, 0.29, 3.9, 0.096, 1.32, 7.0, 125.0, 0.18, 119, 10.80, 0.14, 10.6, 53.6, 320, 34.8, 24.7,<0.002, 0.13, 1.65, 8.3, 1, 4.2, 188.5, 0.87, 0.13, 5.89, 0.727, 0.86, 4.4, 112, 3.4, 7.0, 95, 100.0, 1.75, 1.08, 0.42, 1.83, 0.37, 0.20, 9.5, 2.20, 1.92, 0.30, 0.17, 1.19
ICP23000472Z299, 9, 9360, 139.5, 897, 1.88, 15.15, 8.27, 3.46, 48.8, 14.20, 12.55, 2.68, 59.7, 1.18, 23.4, 65.1, 15.40, 12.4, 67.8, 14.90, 10.8, 752, 1.4, 2.20, 20.9, 1.37, 1.07, 7.57, 323, 6.4, 81.3, 7.22, 510, 0.11, 10.50, 16.2, 8590, 2.59, 0.94, 0.21, 0.37, 50.8, 20.3, 653, 0.71, 123.0, 1.64, 40.5, 0.18, 4.6, 0.187, 0.17, 19.4, 228, 0.06, 116, 18.05, 0.05, 15.2, 360, 1090, 48.9, 4.0, 0.003, 0.20, 3.75, 17.4,<1, 8.0, 438, 1.13, 0.27, 8.77, 0.852, 0.83, 4.7, 241, 4.0, 19.3, 307, 175.0, 5.18, 2.48, 1.26, 5.71, 1.01, 0.42, 26.3, 6.31, 5.39, 0.91, 0.36, 2.36
ICP23000472Z300, 10, 6830, 65.9, 603, 11.65, 5.81, 3.24, 1.42, 41.3, 5.94, 7.22, 1.10, 30.1, 0.41, 16.75, 30.7, 7.38, 64.3, 25.3, 6.31, 13.0, 339, 1.1, 0.90, 13.80, 0.89, 0.50, 3.92, 208, 5.2, 33.3, 3.08, 227, 0.11, 12.70, 11.6, 6090, 2.11, 1.04, 0.53, 0.21, 37.1, 14.4, 528, 8.69, 77.0, 3.47, 40.7, 0.14, 3.4, 0.124, 1.02, 15.0, 103.0, 0.19, 235, 12.65, 0.05, 8.1, 273, 490, 37.4, 44.6, 0.002, 0.30, 2.62, 15.6,<1, 9.4, 254, 0.69, 0.16, 9.39, 0.403, 0.69, 2.8, 161, 2.6, 14.3, 143, 108.0, 3.45, 1.76, 0.79, 3.73, 0.68, 0.32, 18.7, 4.48, 3.96, 0.58, 0.26, 1.79
ICP23000472Z301, 11, 4160, 102.0, 350, 3.62, 8.55, 4.77, 1.70, 31.1, 9.05, 7.11, 1.54, 47.5, 0.57, 27.1, 43.7, 11.35, 29.7, 25.8, 9.38, 11.0, 411, 1.1, 1.41, 25.1, 0.68, 0.59, 7.59, 159, 8.4, 47.2, 4.10, 222, 0.11, 7.72, 5.2, 1970, 2.57, 0.88, 5.67, 0.19, 75.3, 6.7, 211, 2.23, 53.6, 3.65, 29.8, 0.31, 5.0, 0.158, 0.48, 35.6, 107.0, 0.14, 381, 8.42, 0.07, 11.2, 102.0, 2880, 39.8, 19.2, 0.002, 0.86, 2.74, 15.3,<1, 7.5, 317, 0.74, 0.15, 20.2, 0.296, 0.40, 6.3, 114, 3.2, 33.5, 88, 147.0, 6.34, 3.38, 1.31, 6.73, 1.26, 0.56, 33.9, 8.88, 6.51, 1.07, 0.50, 3.35
ICP23000472Z302, 14, 6720, 111.5, 328, 5.50, 8.72, 5.00, 2.18, 34.3, 9.36, 8.41, 1.64, 51.7, 0.74, 13.30, 59.0, 13.75, 49.2, 26.4, 12.20, 9.1, 511, 0.9, 1.41, 20.4, 0.84, 0.66, 5.86, 277, 5.5, 54.0, 4.65, 301, 0.15, 11.10, 14.0, 3020, 3.40, 0.85, 1.85, 0.24, 68.0, 18.0, 237, 3.36, 86.8, 3.97, 33.7, 0.25, 5.7, 0.140, 1.18, 27.8, 99.7, 0.34, 475, 20.6, 0.06, 9.6, 142.5, 440, 41.7, 26.9, 0.003, 0.91, 2.87, 17.8,<1, 8.2, 382, 0.75, 0.17, 14.50, 0.551, 0.72, 4.9, 205, 3.0, 26.8, 130, 178.5, 5.64, 3.08, 1.55, 6.47, 1.12, 0.58, 38.1, 9.04, 7.13, 0.97, 0.49, 3.23
