Symbol;method;sym_method;Count
Ba;ME-MS61r;ME-MS61r_Ba;2
Ce;ME-MS81;ME-MS81_Ce;2
Cr;ME-MS81;ME-MS81_Cr;2
Cs;ME-MS61r;ME-MS61r_Cs;2
Dy;ME-MS61r;ME-MS61r_Dy;2
Er;ME-MS61r;ME-MS61r_Er;2
Eu;ME-MS61r;ME-MS61r_Eu;2
Ga;ME-MS81;ME-MS81_Ga;2
Gd;ME-MS61r;ME-MS61r_Gd;2
Hf;ME-MS61r;ME-MS61r_Hf;2
Ho;ME-MS61r;ME-MS61r_Ho;2
La;ME-MS61r;ME-MS61r_La;2
Lu;ME-MS61r;ME-MS61r_Lu;2
Nb;ME-MS61r;ME-MS61r_Nb;2
Nd;ME-MS61r;ME-MS61r_Nd;2
Pr;ME-MS61r;ME-MS61r_Pr;2
Ag;ME-MS61r;ME-MS61r_Ag;1
Al;ME-MS61r;ME-MS61r_Al;1
As;ME-MS61r;ME-MS61r_As;1
Rb;ME-MS81;ME-MS81_Rb;2
Be;ME-MS61r;ME-MS61r_Be;1
Bi;ME-MS61r;ME-MS61r_Bi;1
Ca;ME-MS61r;ME-MS61r_Ca;1
Cd;ME-MS61r;ME-MS61r_Cd;1
Co;ME-MS61r;ME-MS61r_Co;1
Sc;ME-MS81;ME-MS81_Sc;2
Cu;ME-MS61r;ME-MS61r_Cu;1
Fe;ME-MS61r;ME-MS61r_Fe;1
Ge;ME-MS61r;ME-MS61r_Ge;1
Sm;ME-MS61r;ME-MS61r_Sm;2
In;ME-MS61r;ME-MS61r_In;1
K;ME-MS61r;ME-MS61r_K;1
Li;ME-MS61r;ME-MS61r_Li;1
Mg;ME-MS61r;ME-MS61r_Mg;1
Mn;ME-MS61r;ME-MS61r_Mn;1
Mo;ME-MS61r;ME-MS61r_Mo;1
Na;ME-MS61r;ME-MS61r_Na;1
Sn;ME-MS61r;ME-MS61r_Sn;2
Ni;ME-MS61r;ME-MS61r_Ni;1
P;ME-MS61r;ME-MS61r_P;1
Pb;ME-MS61r;ME-MS61r_Pb;1
Re;ME-MS61r;ME-MS61r_Re;1
S;ME-MS61r;ME-MS61r_S;1
Sb;ME-MS61r;ME-MS61r_Sb;1
Sr;ME-MS61r;ME-MS61r_Sr;2
Se;ME-MS61r;ME-MS61r_Se;1
Ta;ME-MS61r;ME-MS61r_Ta;2
Te;ME-MS61r;ME-MS61r_Te;1
Tb;ME-MS61r;ME-MS61r_Tb;2
Th;ME-MS81;ME-MS81_Th;2
Tl;ME-MS61r;ME-MS61r_Tl;1
Ti;ME-MS81;ME-MS81_Ti;2
Zn;ME-MS61r;ME-MS61r_Zn;1
Tm;ME-MS61r;ME-MS61r_Tm;2
U;ME-MS81;ME-MS81_U;2
V;ME-MS81;ME-MS81_V;2
W;ME-MS81;ME-MS81_W;2
Y;ME-MS61r;ME-MS61r_Y;2
Yb;ME-MS61r;ME-MS61r_Yb;2
Zr;ME-MS61r;ME-MS61r_Zr;2
