Element,Symbol,PAAS_ppm
Lithium,Li,20
Beryllium,Be,3
Aluminium,Al,80000
Strontium,Sr,350
Scandium,Sc,13.6
Vanadium,V,107
Chromium,Cr,83
Manganese,Mn,600
Iron,Fe,35000
Cobalt,Co,17
Nickel,Ni,44
Copper,Cu,25
Zinc,Zn,71
Gallium,Ga,17
Germanium,Ge,1.6
Rubidium,Rb,112
Yttrium,Y,22
Zirconium,Zr,190
Niobium,Nb,12
Molybdenum,Mo,1.5
Silver,Ag,0.05
Cadmium,Cd,0.098
Indium,In,0.05
Tin,Sn,5.5
Tellurium,Te,
Caesium,Cs,4.6
Barium,Ba,550
Lanthanum,La,30
Cerium,Ce,64
Praseodymi,Pr,7.1
Neodynium,Nd,26
Samarium,Sm,4.5
Europium,Eu,0.88
Gadolinium,Gd,3.8
Terbium,Tb,0.64
Dysprosium,Dy,3.5
Holmium,Ho,0.8
Erbium,Er,2.3
Thulium,Tm,0.33
Ytterbium,Yb,2.2
Lutetium,Lu,0.32
Thallium,Ta,0.75
Rhenium,Re,0.0004
Gold,Au,0.0018
Tantalum,Tl,1
Lead,Pb,17
Bismuth,Bi,0.127
Thorium,Th,10.7
Uranium,U,2.8
La+Ce+Pr+Nd+Sm+Eu+Gd+Tb+Dy+Ho+Er+Tm+Yb+Lu,REE,146.37
La+Ce+Pr+Nd+Sm+Eu+Gd+Tb+Dy+Ho+Er+Tm+Yb+Lu+Y,REEY,168.37
La+Ce+Pr+Nd+Pm+Sm,LREE,131.6
Eu+Gd+Tb+Dy+Y,MREE,30.82
Ho+Er+Tm+Yb+Lu,HREE,30.74
